gpu_count,baseline_wait,rl_wait,gpu_group
1,0.0,0.5833333333333334,1
1,0.0,0.05,1
1,0.016666666666666666,0.85,1
1,0.016666666666666666,0.4666666666666667,1
1,0.0,0.35,1
1,0.0,0.9833333333333333,1
1,61.95,0.8333333333333334,1
1,0.0,0.7833333333333333,1
1,0.0,0.36666666666666664,1
1,0.0,0.26666666666666666,1
1,0.016666666666666666,0.23333333333333334,1
1,0.016666666666666666,0.1,1
8,1.0333333333333334,0.38333333333333336,8
1,16.433333333333334,0.6333333333333333,1
1,14.35,0.5333333333333333,1
8,4.816666666666666,0.9333333333333333,8
1,13.783333333333333,0.5666666666666667,1
1,14.616666666666667,0.43333333333333335,1
1,75.85,0.5833333333333334,1
1,13.85,0.43333333333333335,1
1,0.0,0.31666666666666665,1
4,0.2,0.23333333333333334,4
1,0.1,0.05,1
1,17.116666666666667,0.9166666666666666,1
1,0.0,0.65,1
1,156.96666666666667,0.5166666666666667,1
1,156.95,0.5,1
1,22.666666666666668,0.18333333333333332,1
1,20.85,0.31666666666666665,1
1,0.0,0.38333333333333336,1
4,18.283333333333335,0.45,4
1,0.0,0.7333333333333333,1
1,83.95,0.13333333333333333,1
1,0.0,0.4,1
1,0.26666666666666666,0.18333333333333332,1
1,0.0,0.5833333333333334,1
1,0.0,0.06666666666666667,1
1,22.766666666666666,0.7333333333333333,1
1,21.233333333333334,0.1,1
1,23.7,0.05,1
1,0.0,0.4166666666666667,1
1,0.0,0.18333333333333332,1
1,0.0,0.23333333333333334,1
1,0.0,0.4666666666666667,1
1,21.983333333333334,0.8166666666666667,1
1,97.73333333333333,0.35,1
1,99.86666666666666,0.48333333333333334,1
4,1252.6333333333334,0.43333333333333335,4
1,0.03333333333333333,0.15,1
1,0.25,0.9666666666666667,1
1,0.03333333333333333,0.7166666666666667,1
1,0.48333333333333334,0.06666666666666667,1
1,4.033333333333333,0.16666666666666666,1
1,6.466666666666667,0.75,1
1,9.133333333333333,0.25,1
1,11.15,0.9166666666666666,1
1,0.31666666666666665,0.5833333333333334,1
1,105.78333333333333,0.3333333333333333,1
