gpu_count,baseline_wait,rl_wait,gpu_group
1,2.033333333333333,0.6166666666666667,1
1,2.066666666666667,0.5833333333333334,1
1,2.15,0.5666666666666667,1
1,2.25,0.5333333333333333,1
1,1.9166666666666667,0.16666666666666666,1
1,1.9166666666666667,0.13333333333333333,1
1,1.9166666666666667,0.1,1
1,1.9166666666666667,0.06666666666666667,1
1,1.9166666666666667,0.03333333333333333,1
1,1.9166666666666667,0.016666666666666666,1
1,1.9,0.0,1
1,1.9166666666666667,0.9666666666666667,1
1,1.8833333333333333,0.9333333333333333,1
1,1.9166666666666667,0.9166666666666666,1
1,1.8,0.7166666666666667,1
1,1.8166666666666667,0.7,1
1,1.7833333333333334,0.6666666666666666,1
1,1.9666666666666666,0.65,1
1,1.95,0.6166666666666667,1
1,1.9333333333333333,0.6,1
1,2.033333333333333,0.5666666666666667,1
1,2.05,0.5333333333333333,1
1,2.0833333333333335,0.5,1
1,2.183333333333333,0.48333333333333334,1
1,2.15,0.45,1
1,2.2,0.4166666666666667,1
1,2.2,0.4,1
1,2.183333333333333,0.38333333333333336,1
1,1.8833333333333333,0.016666666666666666,1
1,1.9333333333333333,0.0,1
1,1.95,0.9666666666666667,1
1,1.95,0.9333333333333333,1
1,2.0166666666666666,0.9166666666666666,1
1,1.7166666666666666,0.5333333333333333,1
1,1.6833333333333333,0.5,1
1,1.7,0.48333333333333334,1
1,1.6833333333333333,0.45,1
1,1.8,0.43333333333333335,1
1,1.8,0.4166666666666667,1
1,1.6666666666666667,0.21666666666666667,1
1,1.65,0.18333333333333332,1
1,1.6833333333333333,0.15,1
1,1.6833333333333333,0.11666666666666667,1
1,1.8833333333333333,0.1,1
1,1.9166666666666667,0.06666666666666667,1
1,2.0166666666666666,0.016666666666666666,1
1,2.2333333333333334,0.9833333333333333,1
1,2.2666666666666666,0.9666666666666667,1
1,2.3833333333333333,0.9333333333333333,1
1,2.3833333333333333,0.9,1
1,2.3833333333333333,0.8833333333333333,1
1,2.3666666666666667,0.8666666666666667,1
1,2.3666666666666667,0.8333333333333334,1
1,2.4833333333333334,0.8,1
1,2.466666666666667,0.7833333333333333,1
1,2.466666666666667,0.75,1
1,2.466666666666667,0.7166666666666667,1
1,2.5,0.7,1
1,2.466666666666667,0.6666666666666666,1
1,2.5833333333333335,0.6333333333333333,1
1,2.75,0.6166666666666667,1
1,2.95,0.5833333333333334,1
1,3.816666666666667,0.5666666666666667,1
1,4.033333333333333,0.55,1
1,4.05,0.5166666666666667,1
1,4.233333333333333,0.4666666666666667,1
1,4.566666666666666,0.43333333333333335,1
1,4.733333333333333,0.4166666666666667,1
1,4.916666666666667,0.36666666666666664,1
1,5.366666666666666,0.35,1
1,5.85,0.31666666666666665,1
1,6.65,0.2833333333333333,1
1,6.666666666666667,0.26666666666666666,1
1,7.55,0.23333333333333334,1
1,7.8,0.2,1
1,9.0,0.18333333333333332,1
1,9.183333333333334,0.15,1
1,9.2,0.13333333333333333,1
1,9.233333333333333,0.11666666666666667,1
1,9.533333333333333,0.08333333333333333,1
1,9.55,0.05,1
1,9.566666666666666,0.016666666666666666,1
1,9.716666666666667,0.0,1
1,9.783333333333333,0.9833333333333333,1
1,9.766666666666667,0.95,1
1,9.75,0.9333333333333333,1
1,9.766666666666667,0.8833333333333333,1
1,9.816666666666666,0.8666666666666667,1
1,9.866666666666667,0.8333333333333334,1
1,9.9,0.8,1
1,10.166666666666666,0.7833333333333333,1
1,10.133333333333333,0.7333333333333333,1
1,10.166666666666666,0.7166666666666667,1
1,10.166666666666666,0.7,1
1,10.166666666666666,0.6666666666666666,1
